"word","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","SUM"
"indigenous peoples",0,0,0,0,1,0,3,7,1,3,4,10,0,1,3,1,1,3,1,9,48
"private sector",0,0,0,0,3,0,1,2,1,3,0,2,1,0,4,2,0,3,0,1,23
"forest management",1,1,0,0,2,0,1,0,2,5,0,2,3,0,0,0,0,1,0,2,20
"land use",2,0,0,0,3,0,0,0,0,3,0,0,2,0,3,2,2,1,1,0,19
"civil society",0,0,0,0,0,0,1,3,1,1,0,2,2,1,2,1,1,0,0,3,18
"forest monitoring",0,0,0,1,0,1,0,0,3,3,1,1,2,2,0,2,1,1,0,0,18
"paris agreement",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,3,2,1,18
"redd readiness",0,0,0,0,1,3,2,5,4,2,0,0,0,0,0,0,0,0,0,0,17
"developing countries",0,0,1,2,4,1,1,1,0,0,0,0,2,2,1,0,1,0,0,0,16
"national redd",0,0,0,0,0,4,4,1,1,2,0,0,2,1,0,0,0,1,0,0,16
"sustainable development",0,0,1,0,0,0,0,0,1,1,0,2,3,3,1,0,0,3,1,0,16
"local communities",0,0,0,0,0,1,1,2,1,1,0,0,1,0,1,0,1,2,1,2,14
"emissions deforestation",0,0,0,1,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13
"forest carbon",0,0,0,0,0,2,1,1,5,1,0,1,0,0,1,0,0,0,0,0,12
"forest conservation",0,0,0,0,3,1,1,0,2,0,0,0,0,0,1,0,1,1,1,1,12
"forest protection",0,0,1,0,1,1,3,0,0,1,0,2,0,0,2,0,0,1,0,0,12
"capacity building",0,1,1,0,0,2,1,0,0,0,0,2,1,2,0,0,0,0,1,0,11
"forest governance",0,0,0,0,0,3,1,3,0,0,0,2,1,0,1,0,0,0,0,0,11
"lessons learnt",0,0,0,0,0,0,1,2,2,2,1,0,1,0,0,0,1,0,0,1,11
"national forest",0,0,0,1,0,0,0,0,1,3,0,1,2,2,0,0,0,1,0,0,11
"social environmental",0,0,0,0,2,0,3,2,2,0,0,0,0,0,1,0,0,1,0,0,11
"sustainable forest",1,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,1,0,1,11
"indigenous redd",0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,2,0,10
"redd implementation",0,0,0,0,0,1,1,1,1,0,2,2,1,0,0,0,0,0,0,1,10
"redd projects",0,0,0,0,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,10
